word,s_count,s_ratio,g_count,g_ratio,s_to_g_ratio,weight
BTC,4139,0.2126,79215,0.0032,66.83,276609.37
NEO,2506,0.1287,32344,0.0013,99.09,248319.54
ETH,1988,0.1021,40631,0.0016,62.58,124409.04
IOTA,1741,0.0894,11505,0.0005,193.54,336953.14
ICO,1623,0.0833,16775,0.0007,123.74,200830.02
LTC,1307,0.0671,11229,0.0005,148.86,194560.02000000002
BCH,969,0.0498,39792,0.0016,31.14,30174.66
OMG,899,0.0462,47056,0.0019,24.43,21962.57
USD,771,0.0396,49076,0.002,20.09,15489.39
ARK,713,0.0366,5744,0.0002,158.75,113188.75
DNT,688,0.0353,4300,0.0002,204.63,140785.44
XMR,630,0.0324,4500,0.0002,179.05,112801.5
BCC,538,0.0276,17962,0.0007,38.31,20610.780000000002
XRP,498,0.0256,7183,0.0003,88.67,44157.66
BAT,441,0.0226,2787,0.0001,202.37,89245.17
VTC,367,0.0188,1772,0.0001,264.88,97210.959999999992
FAQ,311,0.016,205473,0.0083,1.94,603.34
FUD,262,0.0135,5980,0.0002,56.03,14679.86
NXT,229,0.0118,14495,0.0006,20.21,4628.09
HODL,225,0.0116,3836,0.0002,75.02,16879.5
GAS,225,0.0116,9161,0.0004,31.41,7067.25
FCT,212,0.0109,989,0.0,274.15,58119.799999999996
UTC,210,0.0108,36496,0.0015,7.36,1545.6000000000001
AUT,202,0.0104,122296,0.0049,2.11,426.21999999999997
NEM,197,0.0101,1333,0.0001,189.01,37234.97
ZRX,189,0.0097,2840,0.0001,85.11,16085.789999999999
ATH,186,0.0096,4283,0.0002,55.54,10330.44
PIVX,184,0.0094,624,0.0,377.12,69390.08
ASIC,182,0.0093,3080,0.0001,75.57,13753.739999999998
DASH,181,0.0093,1233,0.0,187.74,33980.94
SEC,167,0.0086,7779,0.0003,27.46,4585.82
TKO,166,0.0085,5410,0.0002,39.24,6513.84
USDT,166,0.0085,984,0.0,215.76,35816.159999999996
IRS,164,0.0084,12061,0.0005,17.39,2851.96
IMO,164,0.0084,129988,0.0052,1.61,264.04
ICO',151,0.0078,1379,0.0001,140.04,21146.039999999997
CEO,147,0.0075,33103,0.0013,5.68,834.95999999999992
EOS,142,0.0073,2772,0.0001,65.52,9303.84
FOMO,141,0.0072,3369,0.0001,53.53,7547.7300000000005
BNB,138,0.0071,3741,0.0002,47.18,6510.84
GPU,137,0.007,73660,0.003,2.38,326.06
ICN,135,0.0069,3214,0.0001,53.72,7252.2
